475,United Technologies Corporation,UTX
476,United Utilities plc.,UU
477,UnitedHealth Group Incorporated,UNH
478,UPM-Kymmene Oyj,UPM
479,Valero Energy Corporation,VLO
480,Verizon Communications Inc.,VZ
481,"Viacom, Inc.",VIA/B
482,Vivendi Environnement Ord,VE
483,Vivendi Universal,V
484,Vodafone AirTouch Public Limited Company,VOD
485,Vornado Realty Trust,VNO
486,Wachovia Corporation,WB
487,"Wal-Mart Stores, Inc.",WMT
488,Walgreen Company,WAG
489,Walt Disney Company (The),DIS
490,"Washington Mutual, Inc.",WM
491,"Waste Management, Inc.",WMI
492,"Weatherford International, Inc.",WFT
493,WellPoint Health Networks Inc.,WLP
494,Wells Fargo Cap IX,WFC
495,Westpac Banking Corporation,WBK
496,Weyerhaeuser Company,WY
497,"Williams Companies, Inc. (The)",WMB
498,Wipro Limited,WIT
499,Wm. Wrigley Jr. Company,WWY
500,WOLSELEY PLC,WOS
501,Woori Finance Holdings Co Ltd,WF
502,WPP Group plc,WPPGY
503,Xerox Corporation,XRX
504,XL CAPITAL LIMITED,XL
505,XTO Energy Inc.,XTO
506,Yahoo! Inc.,YHOO
507,YPF Sociedad Anonima,YPF
508,"Yum! Brands, Inc.",YUM
509,"Zimmer Holdings, Inc.",ZMH
